species	gene_id	gene_name	gene	trait_ontology	trait	sentence	pubmed_id	relevant	irrelevant	sentence_id
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	pyroptosis	In order to explore the impacts of Cd and Mo co-exposure on pyroptosis and apoptosis by the PTEN/PI3K/AKT pathway in the livers of ducks, 40 healthy 7-day-old Shaoxing ducks (Anas platyrhynchos) were randomly assigned into 4 groups, and Cd or/and Mo were added to the basic diet per kilogram (kg): control group (0 mg Mo and 0 mg Cd), Mo group (100 mg Mo), Cd group (4 mg Cd), and Mo + Cd group (100 mg Mo and 4 mg Cd), with 16 weeks feed management.	35112695	0	0	APL35112695001
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	Cd	In order to explore the impacts of Cd and Mo co-exposure on pyroptosis and apoptosis by the PTEN/PI3K/AKT pathway in the livers of ducks, 40 healthy 7-day-old Shaoxing ducks (Anas platyrhynchos) were randomly assigned into 4 groups, and Cd or/and Mo were added to the basic diet per kilogram (kg): control group (0 mg Mo and 0 mg Cd), Mo group (100 mg Mo), Cd group (4 mg Cd), and Mo + Cd group (100 mg Mo and 4 mg Cd), with 16 weeks feed management.	35112695	0	0	APL35112695001
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	Cd	In order to explore the impacts of Cd and Mo co-exposure on pyroptosis and apoptosis by the PTEN/PI3K/AKT pathway in the livers of ducks, 40 healthy 7-day-old Shaoxing ducks (Anas platyrhynchos) were randomly assigned into 4 groups, and Cd or/and Mo were added to the basic diet per kilogram (kg): control group (0 mg Mo and 0 mg Cd), Mo group (100 mg Mo), Cd group (4 mg Cd), and Mo + Cd group (100 mg Mo and 4 mg Cd), with 16 weeks feed management.	35112695	0	0	APL35112695001
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	Cd	In order to explore the impacts of Cd and Mo co-exposure on pyroptosis and apoptosis by the PTEN/PI3K/AKT pathway in the livers of ducks, 40 healthy 7-day-old Shaoxing ducks (Anas platyrhynchos) were randomly assigned into 4 groups, and Cd or/and Mo were added to the basic diet per kilogram (kg): control group (0 mg Mo and 0 mg Cd), Mo group (100 mg Mo), Cd group (4 mg Cd), and Mo + Cd group (100 mg Mo and 4 mg Cd), with 16 weeks feed management.	35112695	0	0	APL35112695001
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	trace element imbalance	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	liver function	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	histomorphological abnormalities in the duck liver	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	trace element imbalance	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	liver function	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	histomorphological abnormalities in the duck liver	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005931	Serine/threonine-protein kinase Nek7	NEK7	-	trace element imbalance	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
