sentence_id	entity_id	entity	entity_type	correct	not_an_entity	wrong_border	entity_position
APL35112695001	APL3511269500101	PTEN	gene	0	0	0	93:96
APL35112695001	APL3511269500102	pyroptosis	phenotype	0	0	0	61:70
APL35112695001	APL3511269500103	Cd	phenotype	0	0	0	36:37,238:239,331:332,358:359,373:374,387:388,416:417
APL35112695002	APL3511269500201	PTEN	gene	0	0	0	158:161,199:202
APL35112695002	APL3511269500202	trace element imbalance	phenotype	0	0	0	44:66
APL35112695002	APL3511269500203	liver function	phenotype	0	0	0	69:82
APL35112695002	APL3511269500204	histomorphological abnormalities in the duck liver	phenotype	0	0	0	88:137
APL35112695002	APL3511269500205	NEK7	gene	0	0	0	357:360
APL35112695003	APL3511269500301	PTEN	gene	0	0	0	125:128
APL35112695003	APL3511269500302	Mo	phenotype	0	0	0	84:85
APL34944363001	APL3494436300101	TLR4	gene	0	0	0	156:159
APL34944363001	APL3494436300102	Anas platyrhynchos	phenotype	0	0	0	110:127
APL34944363003	APL3494436300301	TLR4	gene	0	0	0	102:105
APL34944363003	APL3494436300302	growth performance	phenotype	0	0	0	33:50
APL34923880001	APL3492388000101	SCNN1B	gene	0	0	0	21:26
APL34923880001	APL3492388000102	Anas platyrhynchos	phenotype	0	0	0	110:127
APL34923880002	APL3492388000201	SCNN1B	gene	0	0	0	39:44
APL34923880002	APL3492388000202	eggshell strength	phenotype	0	0	0	95:111
APL34729831001	APL3472983100101	Occludin	gene	0	0	0	190:197
APL34729831001	APL3472983100102	intestinal dysfunction	phenotype	0	0	0	44:65
APL34635656001	APL3463565600101	NR2F2	gene	0	0	0	98:102
APL34635656001	APL3463565600102	adipose deposition	phenotype	0	0	0	188:205
APL34421865001	APL3442186500101	IL15	gene	0	0	0	166:169
APL34421865001	APL3442186500102	SE infection	phenotype	0	0	0	73:84
APL34421865001	APL3442186500103	CD40	gene	0	0	0	172:175
APL34421865001	APL3442186500104	CCR7	gene	0	0	0	182:185
APL33849442001	APL3384944200101	ADCYAP1R1	gene	0	0	0	143:151
APL33849442001	APL3384944200102	cell growth	phenotype	0	0	0	229:239
APL33849442001	APL3384944200103	IGF1R	gene	0	0	0	248:252
APL33472667001	APL3347266700101	DDX1	gene	0	0	0	22:25
APL33472667001	APL3347266700102	viral infection	phenotype	0	0	0	86:100
APL33472667002	APL3347266700201	DDX1	gene	0	0	0	27:30,35:38
APL33472667002	APL3347266700202	RNA virus infection	phenotype	0	0	0	49:67
APL33472667002	APL3347266700203	NDRV infection	phenotype	0	0	0	93:106
APL33472667003	APL3347266700301	DDX1	gene	0	0	0	31:34
APL33472667003	APL3347266700302	NDRV infection	phenotype	0	0	0	57:70
APL33472667003	APL3347266700303	duck virus infection	phenotype	0	0	0	131:150
APL33372351001	APL3337235100101	ABCG2	gene	0	0	0	86:90
APL33372351001	APL3337235100102	mallard egg colour	phenotype	0	0	0	116:133
APL33215508002	APL3321550800201	TLR3	gene	0	0	0	62:65
APL33215508002	APL3321550800202	breast muscle	phenotype	0	0	0	167:179
APL33215508003	APL3321550800301	TLR3	gene	0	0	0	30:33
APL33215508003	APL3321550800302	bacterial infections	phenotype	0	0	0	90:109
APL33117797001	APL3311779700101	TYR	gene	0	0	0	56:58,61:63
APL33117797001	APL3311779700102	dorsoventral plumage	phenotype	0	0	0	274:293
APL33117797001	APL3311779700103	TYRP1	gene	0	0	0	61:65
APL33117797001	APL3311779700104	MLANA	gene	0	0	0	68:72
APL33117797001	APL3311779700105	OCA2	gene	0	0	0	82:85
APL33117797001	APL3311779700106	MC1R	gene	0	0	0	97:100
APL32180490001	APL3218049000101	SP3	gene	0	0	0	212:214
APL32180490001	APL3218049000102	bp open reading frame	phenotype	0	0	0	117:137
APL32180490002	APL3218049000201	SP3	gene	0	0	0	30:32
APL32180490002	APL3218049000202	viral infections	phenotype	0	0	0	87:102
APL31662999001	APL3166299900101	MITF	gene	0	0	0	22:25,53:56
APL31662999001	APL3166299900102	white feather bulbs	phenotype	0	0	0	77:95
APL31046421001	APL3104642100101	IFN	gene	0	0	0	136:138
APL31046421001	APL3104642100102	peripheral blood mononuclear cells	phenotype	0	0	0	63:96
APL31016183001	APL3101618300101	SERPINA1	gene	0	0	0	41:48
APL31016183001	APL3101618300102	viral infection	phenotype	0	0	0	81:95
APL30968708001	APL3096870800101	TNNI1	gene	0	0	0	67:71
APL30968708001	APL3096870800102	Gaoyou duck skeletal muscle	phenotype	0	0	0	91:117
APL30624718001	APL3062471800101	HMOX1	gene	0	0	0	89:93
APL30624718001	APL3062471800102	duck shell gland	phenotype	0	0	0	99:114
APL30624718004	APL3062471800401	ALAS1	gene	0	0	0	14:18
APL30624718004	APL3062471800402	formation of blue egg	phenotype	0	0	0	47:67
APL30595026001	APL3059502600101	MITF	gene	0	0	0	30:33
APL30595026001	APL3059502600102	plumage colour pattern	phenotype	0	0	0	75:96
APL29720294001	APL2972029400101	PPARG	gene	0	0	0	94:98
APL29720294001	APL2972029400102	hepatic steatosis	phenotype	0	0	0	203:219,260:276
APL29720294001	APL2972029400103	'adipogenic hepatic steatosis	phenotype	0	0	0	248:276
APL29720294002	APL2972029400201	PPARG	gene	0	0	0	19:23
APL29720294002	APL2972029400202	adipose tissues	phenotype	0	0	0	162:176
APL28198082001	APL2819808200101	PCK1	gene	0	0	0	1:4
APL28198082001	APL2819808200102	glucose level	phenotype	0	0	0	47:59
APL28198082002	APL2819808200201	PCK1	gene	0	0	0	10:13
APL28198082002	APL2819808200202	Jinyun Pockmark ducks and Cherry Valley ducks	phenotype	0	0	0	83:127
APL28198082002	APL2819808200203	Anas platyrhynchos	phenotype	0	0	0	159:176
APL28198082003	APL2819808200301	PCK1	gene	0	0	0	56:59,171:174
