pumedid	entity_id	entity	entity_type	correct	not_an_entity	wrong_border	entity_position
35366864	001	high pathogenicity avian influenza	phenotype	0	0	0	43:76
35353676	001	host factors	phenotype	0	0	0	114:125
35353676	002	genetic host factors	phenotype	0	0	0	447:466
35256126	001	ocular disease	phenotype	0	0	0	32:45
35256126	002	eye fluke infection	phenotype	0	0	0	453:471
35256126	003	eye flukes	phenotype	0	0	0	1327:1336,1553:1562
35256126	004	eye damage	phenotype	0	0	0	1752:1761
35256126	005	eye parasite	phenotype	0	0	0	2799:2810
35142170	001	acute intermittent respiratory distress	phenotype	0	0	0	82:120
35142170	002	tracheal defect	phenotype	0	0	0	263:277
35142170	003	tracheal rupture	phenotype	0	0	0	397:412
35112695	001	PTEN	gene	0	0	0	261:264,777:780,818:821,777:780,818:821,1429:1432
35112695	002	NLRP3	gene	0	0	0	969:973,1048:1052,969:973,1048:1052
35112695	003	NEK7	gene	0	0	0	976:979
35112695	004	GSDMA	gene	0	0	0	994:998
35112695	005	GSDMD	gene	0	0	0	1063:1067
35112695	006	Cyt C	gene	0	0	0	1145:1149
35112695	007	trace element imbalance	phenotype	0	0	0	663:685
35112695	008	liver function	phenotype	0	0	0	688:701
35112695	009	histomorphological abnormalities in the duck liver	phenotype	0	0	0	707:756
35106300	001	gastrointestinal parasites	phenotype	0	0	0	42:67,676:701
35106300	002	Syngamus trachea	phenotype	0	0	0	805:820
35106300	003	Choanotaenia infundibulum	phenotype	0	0	0	917:941
35106300	004	gastrointestinal parasite	phenotype	0	0	0	1144:1168
35094630	001	white plumage	phenotype	0	0	0	224:236,1647:1659
35094630	002	feather bulbs of black	phenotype	0	0	0	353:374
35094630	003	white feather bulbs	phenotype	0	0	0	515:533
35094630	004	ASIP	gene	0	0	0	1212:1215
35094630	005	GNAI1	gene	0	0	0	1262:1266
35094630	006	KITLG	gene	0	0	0	1328:1332
35094630	007	EDN3	gene	0	0	0	1335:1338
35094630	008	FZD4	gene	0	0	0	1344:1347
35094630	009	feather albinism	phenotype	0	0	0	1433:1448
35094630	00A	feather pigmentation	phenotype	0	0	0	1563:1582
35090373	001	epithelial tumors	phenotype	0	0	0	60:76
35068101	001	matrix protein	gene	0	0	0	627:640
35068101	002	polymerase basic proteins 1 and 2	gene	0	0	0	843:875
35068101	003	polymerase acidic protein	gene	0	0	0	878:902
35068101	004	nucleocapsid protein genes	gene	0	0	0	909:934
34995644	001	pituitaryadrenal axis	phenotype	0	0	0	211:231
34995644	002	stress responses	phenotype	0	0	0	310:325
34995644	003	adrenocorticotropin hormone	gene	0	0	0	615:641
34995644	004	GC	gene	0	0	0	1175:1176
34995644	005	lymphocyte ratios	phenotype	0	0	0	1285:1301
34970593	001	TLR3	gene	0	0	0	694:697
34970593	002	TLR7	gene	0	0	0	700:703
34958264	001	systemic disease	phenotype	0	0	0	264:279
34944363	001	male ducklings	phenotype	0	0	0	190:203
34944363	002	body weight	phenotype	0	0	0	242:252,791:801,870:880
34944363	003	inflammatory response	phenotype	0	0	0	962:982
34944363	004	TLR4	gene	0	0	0	1145:1148,1291:1294
34944363	005	growth performance	phenotype	0	0	0	1222:1239
34944306	001	loss of consciousness	phenotype	0	0	0	260:280,1192:1212
34944306	002	cranial nerve reflexes	phenotype	0	0	0	339:360
34944306	003	muscle tension	phenotype	0	0	0	367:380
34944306	004	neck cut	phenotype	0	0	0	453:460,721:728
34944306	005	neck pathology	phenotype	0	0	0	607:620
34944306	006	loss of balance	phenotype	0	0	0	927:941,1097:1111
34944306	007	neck tension	phenotype	0	0	0	1117:1128
34944291	001	liver injury	phenotype	0	0	0	392:403
34944291	002	cytochrome P450	gene	0	0	0	997:1011
34944291	003	liver damage	phenotype	0	0	0	983:994
34944291	004	oxidative stress	phenotype	0	0	0	1061:1076,1359:1374
