ID	PMID	title	author	journal	time&volume	other_info	abstract
1	35366864	Susceptibility of common family Anatidae bird species to clade 2.3.4.4e H5N6 high pathogenicity avian influenza virus: an experimental infection study.	Soda K, Tomioka Y, Hidaka C, Matsushita M, Usui T, Yamaguchi T	BMC Vet Res	 2022 Apr 2;18(1):127	 doi: 101186/s12917-022-03222-7	BACKGROUND: There were large outbreaks of high pathogenicity avian influenza (HPAI) caused by clade 2.3.4.4e H5N6 viruses in the winter of 2016-2017 in Japan, which caused large numbers of deaths among several endangered bird species including cranes, raptors, and birds in Family Anatidae. In this study, susceptibility of common Anatidae to a clade 2.3.4.4e H5N6 HPAI virus was assessed to evaluate their potential to be a source of infection for other birds. Eurasian wigeons (Mareca penelope), mallards (Anas platyrhynchos), and Northern pintails (Anas acuta) were intranasally inoculated with 10(6), 10(4), or 10(2) 50% egg infectious dose (EID50) of clade 2.3.4.4e A/teal/Tottori/1/2016 (H5N6). RESULTS: All birds survived for 10 days without showing any clinical signs of infection. Most ducks inoculated with >/= 10(4) EID50 of virus seroconverted within 10 days post-inoculation (dpi). Virus was mainly shed via the oral route for a maximum of 10 days, followed by cloacal route in late phase of infection. Virus remained in the pancreas of some ducks at 10 dpi. Viremia was observed in some ducks euthanized at 3 dpi, and </= 10(6.3) EID50 of virus was recovered from systemic tissues and swab samples including eyeballs and conjunctival swabs. CONCLUSIONS: These results indicate that the subject duck species have a potential to be a source of infection of clade 2.3.4.4e HPAI virus to the environment and other birds sharing their habitats. Captive ducks should be reared under isolated or separated circumstances during the HPAI epidemic season to prevent infection and further viral dissemination.
2	35353676	Differential gene expression reveals host factors for viral shedding variation in mallards (Anas platyrhynchos) infected with low-pathogenic avian influenza virus.	Dolinski AC, Homola JJ, Jankowski MD, Robinson JD, Owen JC	J Gen Virol	 2022 Mar;103(3)	 doi: 101099/jgv0001724	Intraspecific variation in pathogen shedding impacts disease transmission dynamics; therefore, understanding the host factors associated with individual variation in pathogen shedding is key to controlling and preventing outbreaks. In this study, ileum and bursa of Fabricius tissues of wild-bred mallards (Anas platyrhynchos) infected with low-pathogenic avian influenza (LPAIV) were evaluated at various post-infection time points to determine genetic host factors associated with intraspecific variation in viral shedding. By analysing transcriptome sequencing data (RNA-seq), we found that LPAIV-infected wild-bred mallards do not exhibit differential gene expression compared to uninfected birds, but that gene expression was associated with cloacal viral shedding quantity early in the infection. In both tissues, immune gene expression was higher in high/moderate shedding birds compared to low shedding birds, and significant positive relationships with viral shedding were observed. In the ileum, expression for host genes involved in viral cell entry was lower in low shedders compared to moderate shedders at 1 day post-infection (DPI), and expression for host genes promoting viral replication was higher in high shedders compared to low shedders at 2 DPI. Our findings indicate that viral shedding is a key factor for gene expression differences in LPAIV-infected wild-bred mallards, and the genes identified in this study could be important for understanding the molecular mechanisms driving intraspecific variation in pathogen shedding.
3	35256126	Philophthalmus gralli in domestic waterfowl: An environmental study in an urban area from Brazil.	Assis JCA, Pulido-Murillo E, Melo AL, Martins NRDS, Pinto HA	Vet Parasitol Reg Stud Reports	 2022 Apr;29:100701	 doi: 101016/jvprsr2022100701 Epub 2022 Feb 2	Philophthalmosis is a zoonotic ocular disease that affects mainly domestic and wild avian species in different parts of the world. However, aspects related to its epizoology in domestic animals are not completely known. In the present study, 47 Muscovy duck (Cairina moschata), 8 mallards (Anas platyrhynchos platyrhynchos) and 6 African geese (Anser cygnoides), free-living in an urban lake in Belo Horizonte, Minas Gerais, Brazil, were evaluated for eye fluke infection. The animals were manually contained, and the conjunctival sac and nictitating membrane were evaluated by direct ophthalmic examination (DOE), in which the fluke burden was estimated by a semiquantitative scale. Moreover, the conjunctival sac lavage (CSL) technique was applied for the search of parasite eggs. When possible, the detected trematodes were carefully removed for fixed for taxonomic identification. In order to characterize the parasite-host-environmental system, malacological collections were performed at the locality, and the collected intermediate host mollusks (Melanoides tuberculata) were evaluated for infection with larval philophthalmids. In addition, wild vertebrates found dead in the locality, including one common gallinule (Gallinula galeata) and two capybaras (Hydrochoerus hydrochaeris), were necropsied for the search of eye flukes. Samples from the developmental stages obtained from the hosts were subjected to morphological and molecular studies (amplification and sequencing of a partial region of the Nad-1 gene). In the DOE, the presence of eye flukes was verified in 67% (4/6), 31% (15/47) and 25% (2/8) in geese, Muscovy ducks and mallards, respectively. In most cases, the birds showed mild parasitism (1-5 trematodes), with no apparent eye damage, characterizing a subclinical infection. In only one goose, which had a high fluke burden (20 trematodes), it was possible to obtain eggs by CSL. Regarding the malacological survey, 73/4545 (1.6%) specimens of M. tuberculata evaluated were found infected with megalurous cercariae, compatible with representatives of the family Philophthalmidae. Additionally, 147 flukes were recovered from a specimen of G. galeata found dead at the lake. The morphological and molecular study of parasites obtained from different hosts evaluated in this study enabled the identification of Philophthalmus gralli, a species native from Asia and introduced in the Americas. Factors such as the wide distribution of the intermediate host and the participation of domestic and wild reservoirs in the parasite transmission chain may favor the occurrence of parasite spillover from wild to domestic birds. Furthermore, the occurrence of the life cycle of P. gralli in an urban waterbody serves as an alert to the possibility of human cases of this zoonotic eye parasite.
4	35222974	Effects of weather variation on waterfowl migration: Lessons from a continental-scale generalizable avian movement and energetics model.	Aagaard KJ, Lonsdorf EV, Thogmartin WE	Ecol Evol	 2022 Feb 17;12(2):e8617	 doi: 101002/ece38617 eCollection 2022 Feb	We developed a continental energetics-based model of daily mallard (Anas platyrhynchos) movement during the non-breeding period (September to May) to predict year-specific migration and overwinter occurrence. The model approximates movements and stopovers as functions of metabolism and weather, in terms of temperature and frozen precipitation (i.e., snow). The model is a Markov process operating at the population level and is parameterized through a review of literature. We applied the model to 62 years of daily weather data for the non-breeding period. The average proportion of available habitat decreased as weather severity increased, with mortality decreasing as the proportion of available habitat increased. The most commonly used locations during the course of the non-breeding period were generally consistent across years, with the most inter-annual variation present in the overwintering area. Our model revealed that the distribution of mallards on the landscape changed more dramatically when the variation in daily available habitat was greater. The main routes for avian migration in North America were predicted by our simulations: the Atlantic, Mississippi, Central, and Pacific flyways. Our model predicted an average of 77.4% survivorship for the non-breeding period across all years (range = 76.4%-78.4%), with lowest survivorship during autumn (90.5 +/- 1.4%), intermediate survivorship in winter (91.8 +/- 0.7%), and greatest survivorship in spring (93.6 +/- 1.1%). We provide the parameters necessary for exploration within and among other taxa to leverage the generalizability of this migration model to a broader expanse of bird species, and across a range of climate change and land use/land cover change scenarios.
5	35142170	Surgical Repair of a Complete Transverse Tracheal Rupture in a Mallard Duck (Anas platyrhynchos).	Adair JE, Riggs GL	J Avian Med Surg	 2022 Jan;35(4):451-456	 doi: 101647/19-00026	An adult male mallard duck (Anas platyrhynchos) of unknown age was presented for acute intermittent respiratory distress that resolved when at rest. The duck had no history or evidence of trauma and had never been intubated. Radiographic imaging revealed a 1-cm tracheal defect at the level of the sixth vertebra. Surgical correction of the defect was pursued, during which a complete transverse tracheal rupture of unknown origin was identified. The separated tracheal sections were successfully anastomosed without resection of any tracheal rings. Tracheoscopy performed 2 months after the surgical procedure revealed healthy mucosa at the anastomosis site with a slight narrowing of the tracheal lumen.
6	35112695	Cadmium and molybdenum co-induce pyroptosis and apoptosis via the PTEN/PI3K/AKT axis in the livers of Shaoxing ducks (Anas platyrhynchos).	Cao P, Nie G, Luo J, Hu R, Li G, Hu G, Zhang C	Food Funct	 2022 Feb 21;13(4):2142-2154	 doi: 101039/d1fo02855c	Cadmium (Cd) and excessive molybdenum (Mo) have adverse impacts on animals. However, the hepatotoxicity co-induced by Cd and Mo in ducks has not been fully elucidated. In order to explore the impacts of Cd and Mo co-exposure on pyroptosis and apoptosis by the PTEN/PI3K/AKT pathway in the livers of ducks, 40 healthy 7-day-old Shaoxing ducks (Anas platyrhynchos) were randomly assigned into 4 groups, and Cd or/and Mo were added to the basic diet per kilogram (kg): control group (0 mg Mo and 0 mg Cd), Mo group (100 mg Mo), Cd group (4 mg Cd), and Mo + Cd group (100 mg Mo and 4 mg Cd), with 16 weeks feed management. Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively. Overall, the results illustrate that pyroptosis and apoptosis induced by Cd or/and Mo may be associated with activating the PTEN/PI3K/AKT pathway in the livers of ducks. There may be a synergy between these two elements.
7	35106300	Prevalence of gastrointestinal parasites in three groups of domestic poultry managed under backyard system in the Savanna subregion, Department of Sucre, Colombia.	Montes-Vergara DE, Cardona-Alvarez J, Perez-Cordero A	J Adv Vet Anim Res	 2021 Nov 1;8(4):606-611	 doi: 105455/javar2021h551 eCollection 2021 Dec	Objective: To identify the prevalence of gastrointestinal parasites that affect the backyard poultry system in the Savanna region, Department of Sucre, Colombia. Materials and Methods: Fecal samples were collected from 860 native birds, both hens (Gallus domesticus), ducks (Anas platyrhynchos domesticus), and turkeys (Meleagris gallopavo), regardless of age and sex. Samples were processed using direct techniques with ZnSO4 and indirect methods such as modified Sloss. Data were presented as frequencies, and the nonparametric odds ratio test was used for two independent samples. Results: A total of 77.3% (665/860) of the birds were infected with one or more species of gastrointestinal parasites. Among the nematodes, Capillaria spp. (45.6%), Ascaridia galli (18.4%), Heterakis gallinarum (59.4%), Syngamus trachea (38.9%), Tetrameres spp. (25.2%), and Strongylus spp. (12.2%) were recorded. The cestodes were Choanotaenia infundibulum (22.6%), Davainea proglottina (42.3%), Raillietina spp. (58.3%), and Hymenolepis spp. (54.7%), while only Eimeria spp. (90%) was recorded as protozoa. Conclusions: The study showed a high incidence of gastrointestinal parasite infestations, the most common species being Hymenolepis spp., Eimeria spp., Raillietina spp., and Heterakis gallinarum.
8	35094630	Transcriptome analysis of genes potentially associated with white and black plumage formation in Chinese indigenous ducks (Anas platyrhynchos).	Lin R, Li J, Zhao F, Zhou M, Wang J, Xiao T	Br Poult Sci	 2022 Feb 18:1-9	 doi: 101080/0007166820222035676	1. Plumage colour is an important recognisable characteristic of duck (Anas platyrhynchos), but the colouration mechanisms remain largely unknown. To elucidate the molecular mechanisms underlying the formation of black and white plumage, the following study applied RNA sequencing (RNA-Seq) to catalogue the global gene expression profiles in the duck feather bulbs of black and white colours.2. Black feather bulbs were collected from Putian Black ducks (B-PTB) and black Longsheng Jade-green ducks (B-LS), while white feather bulbs were collected from Putian White ducks (W-PTW), Putian Black ducks (W-PTB) and Longsheng Jade-green ducks (W-LS). Sixteen cDNA libraries were constructed and sequenced for transcriptional analysis. Three comparison groups were employed to analyse differentially expressed genes (DEGs), including W-PTB versus B-PTB, W-PTW versus B-PTB and W-LS versus B-LS.3. The results showed 180 DEGs between W-PTB and B-PTB, 303 DEGs between W-PTW and B-PTB, and 108 DEGs between W-LS and B-LS. Further analysis showed that 18 DEGs were directly involved in the pigmentation process and melanogenesis signalling pathway. Additionally, the distribution of DEGs varied amongst groups whereby ASIP appeared only in the W-LS versus B-LS group, GNAI1 and ZEB2 appeared only in the W-PTW versus B-PTB group, and KITLG, EDN3 and FZD4 appeared only in W-PTB versus B-PTB.4. The findings suggested that the mechanism of feather albinism may differ between duck breeds. This study provided new information for discovering genes that are important for feather pigmentation and helps elucidate molecular mechanisms involved in black and white plumage in ducks.
9	35090373	Novel papillomavirus in a mallard duck with mesenchymal chondroid dermal tumors.	Rosenbaum CS, Wunschmann A, Armien AG, Schott R, Singh VK, Mor SK	J Vet Diagn Invest	 2022 Mar;34(2):231-236	 doi: 101177/10406387221075607 Epub 2022 Jan 28	Papillomaviruses, which are epitheliotropic and may induce epithelial tumors, have been identified in several avian species, including ducks. An adult female mallard duck (Anas platyrhynchos) was admitted to a wildlife rehabilitation center with 2 beige, well-demarcated, firm masses: one in the subcutis under a wing, and the other on a digit of the right foot. After euthanasia, the masses were fixed in formalin for histologic examination. Both tumors had a lobular organization with cartilage cores surrounded by densely cellular interlacing bundles of spindle cells. Neoplastic chondroblasts in both masses, particularly the digital mass, contained basophilic intranuclear inclusion bodies, which consisted of assembly complexes of icosahedral virions of 44-nm diameter. Next-generation sequencing allowed whole genome assembly of a novel papillomavirus (Anas platyrhynchos papillomavirus 2) related most closely to Fulmarus glacialis papillomavirus 1 (59.49% nucleotide identity). Our case supports the observation that certain papillomaviruses can productively infect mesenchymal cells and induce neoplasia.
10	35068101	Rapid Emergence of the Reassortant 2.3.4.4b H5N2 Highly Pathogenic Avian Influenza Viruses in a Live Poultry Market in Xinjiang, Northwest China.	Aji D, Chang N, Zhang C, Du F, Li J, Yun F, Shi W, Bi Y, Ma Z	Avian Dis	 2021 Dec;65(4):578-583	 doi: 101637/aviandiseases-D-21-00075	Live poultry markets (LPMs) play a key role in reassorting and spreading avian influenza viruses (AIVs). In 2018, four strains of H5N2 AIVs were isolated from domestic ducks (Anas platyrhynchos) during AIV surveillance from the LPM in Urumqi, Xinjiang, China. All gene segments of the isolates were amplified by reverse transcription-PCR and sequenced; then, the viral genetic mutations, reassortant, and origin were analyzed. Higher nucleotide identities were observed among each gene of the isolates, indicating a common ancestor. The hemagglutinin (HA) genes of the isolates all classified into the clade 2.3.4.4b; the HA, matrix protein (MP), and nonstructural protein (NS) genes were all clustered together with the local H5N6 highly pathogenic AIVs (HPAIVs) identified in the same LPM of Urumqi in July 2017; the neuraminidase albumen, polymerase basic proteins 1 and 2, polymerase acidic protein, and nucleocapsid protein genes (NA, PB1, PB2, PA, and NP) all had close phylogenetic relationships with the local H9N2 AIVs identified in the same LPM from September to October 2018. Multiple basic amino acids were present at the cleavage site of the HA protein, which was associated with HPAIVs. These results indicated that the reassortant clade 2.3.4.4b H5N2 HPAIVs were rapidly generated from reassortment between the H5N6 and H9N2 AIVs in the local LPM of Urumqi in 2018.
